paper_id,paper_title,doi,pmid,species,tissue,raw_label,raw_label_zh,marker_genes,n_cells,source_type,evidence,confidence,harvested_at
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,leaf,Mesophyll,叶肉,LOC_Os07g37030,,results_text,"Some cell types common to multiple organs, such as mesophyll (clusters 19 and 25; Fig. 1d), even partially overlapped.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,leaf,Vascular,维管组织,LOC_Os02g43770,,results_text,"We found high correlation in the mesophyll, vascular, guard cell and epidermis from leaf and flag leaf.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,leaf,Guard cell,保卫细胞,,,results_text,"We found high correlation in the mesophyll, vascular, guard cell and epidermis from leaf and flag leaf.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,leaf,Epidermis,表皮,"LOC_Os01g58890,LOC_Os05g02420",,results_text,"We found high correlation in the mesophyll, vascular, guard cell and epidermis from leaf and flag leaf.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,stem,Collenchyma,厚角组织,,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,meristem,Bud axis,芽轴,,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,meristem,Bud primordium,芽原基,LOC_Os05g02420,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,stem,Parenchyma cell,薄壁细胞,LOC_Os03g52860,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,meristem,Meristem,分生组织,,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
1931,A single-cell multi-omics atlas of rice,10.1038/s41586-025-09251-0,,rice,meristem,Shoot apical meristem,茎尖分生组织,,,figure_legend,"d, UMAP visualization showing all clusters and corresponding cell-type annotations. The same colour was used for identical cell types of different organs.",high,2026-06-30T10:35:44
